Local,Setor,2022,2023,2024,Total
SG,Extrativa Mineral,115,139,177,431
SG,Prod. Mineral Não Metálico,716,464,451,1631
SG,Indústria Metalúrgica,1095,1252,1430,3777
SG,Indústria Mecânica,340,373,422,1135
SG,Elétrico e Comunic,78,64,68,210
SG,Material de Transporte,2037,2481,2805,7323
SG,Madeira e Mobiliário,372,377,406,1155
SG,Papel e Gráf,122,144,139,405
SG,"Borracha, Fumo, Couros",326,312,350,988
SG,Indústria Química,2291,2576,2937,7804
SG,Indústria Têxtil,1627,1609,1695,4931
SG,Indústria Calçados,7,7,7,21
SG,Alimentos e Bebidas,2247,2615,2644,7506
SG,Serviço Utilidade Pública,769,806,853,2428
SG,Construção Civil,6683,6965,7445,21093
SG,Comércio Varejista,26526,26727,27125,80378
SG,Comércio Atacadista,5613,5420,5462,16495
SG,Instituição Financeira,1252,964,901,3117
SG,Adm Técnica Profissional,8373,8774,9509,26656
SG,Transporte e Comunicações,11170,10750,10683,32603
SG,Aloj Comunic,9241,10616,11075,30932
SG,Médicos Odontológicos Vet,7029,6506,6793,20328
SG,Ensino,7497,7766,7757,23020
SG,Administração Pública,21466,12253,0,33719
SG,Agricultura,171,217,126,514
SG,"Outros, ignorados",1,0,0,1
SG,{ñ class},125,0,0,125
RJ,Extrativa Mineral,43178,47186,49983,140347
RJ,Prod. Mineral Não Metálico,18626,17503,17384,53513
RJ,Indústria Metalúrgica,54202,54617,56300,165119
RJ,Indústria Mecânica,35522,39364,43580,118466
RJ,Elétrico e Comunic,4972,4577,4592,14141
RJ,Material de Transporte,35623,35979,46247,117849
RJ,Madeira e Mobiliário,8091,8077,8253,24421
RJ,Papel e Gráf,19792,20067,20853,60712
RJ,"Borracha, Fumo, Couros",19575,19885,20139,59599
RJ,Indústria Química,54451,56453,58225,169129
RJ,Indústria Têxtil,43193,41837,43410,128440
RJ,Indústria Calçados,281,213,253,747
RJ,Alimentos e Bebidas,97310,105683,107330,310323
RJ,Serviço Utilidade Pública,67620,68695,67153,203468
RJ,Construção Civil,178123,225291,232987,636401
RJ,Comércio Varejista,673710,678236,696368,2048314
RJ,Comércio Atacadista,138269,143915,146122,428306
RJ,Instituição Financeira,85804,83262,80908,249974
RJ,Adm Técnica Profissional,652516,707093,752317,2111926
RJ,Transporte e Comunicações,288792,296868,308216,893876
RJ,Aloj Comunic,485458,500775,506063,1492296
RJ,Médicos Odontológicos Vet,255945,281255,255136,792336
RJ,Ensino,251608,256341,213443,721392
RJ,Administração Pública,774235,620831,8662,1403728
RJ,Agricultura,25410,25844,25493,76747
RJ,"Outros, ignorados",319,0,0,319
RJ,{ñ class},17374,0,0,17374
